PREFIXO: ;3D-015
NOME DO POSTO: ;GUARIPOCABA
MUNICÍPIO: ;BRAGANCA PAULISTA
CURSO D'ÁGUA: ;JAGUARI,R
ÁREA (Km²): ;1.353,00
LATITUDE: ;22°54'24"
LONGITUDE: ;46°28'37"
 
Obs: valores com --- representam dados inexistentes.
 
Vazões médias diárias (m³/s)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Vazão Mínima;Vazão Média;Vazão Máxima
  01/1976;39,383;34,516;31,401;31,146;32,945;32,686;51,301;58,469;59,108;44,476;36,381;39,938;35,577;31,401;30,387;28,394;28,148;29,884;31,146;29,884;36,921;30,892;28,148;27,173;25,971;25,024;26,931;28,640;27,659;31,657;35,845;25,024;34,240;59,108
  02/1976;44,476;42,185;49,487;60,072;50,694;51,606;63,980;99,832;109,261;121,884;109,261;73,093;50,997;42,185;37,191;35,045;37,191;36,113;41,337;46,810;44,476;45,346;47,697;60,394;70,007;72,748;81,913;114,088;128,168;---;---;35,045;64,398;128,168
  03/1976;127,323;104,901;87,744;74,480;64,971;57,833;50,694;50,089;45,346;45,346;42,469;50,997;54,687;50,391;51,911;53,447;42,469;44,476;50,694;65,635;70,007;56,567;51,911;47,697;66,635;52,831;54,066;57,515;57,198;53,756;45,930;42,469;59,033;127,323
  04/1976;39,938;38,556;36,650;35,845;35,845;35,045;33,466;32,170;30,639;33,205;35,845;44,476;69,667;83,720;96,758;94,854;70,007;53,447;45,638;41,902;39,106;37,463;36,921;36,650;35,845;33,727;33,466;32,686;32,170;31,146;---;30,639;44,562;96,758
  05/1976;31,657;30,892;29,135;29,384;28,887;29,634;29,384;27,903;27,415;29,634;29,384;30,387;36,113;30,892;28,887;27,659;27,659;27,173;31,657;40,495;44,765;39,383;38,831;34,516;32,428;30,892;32,686;32,428;57,198;77,988;72,748;27,173;35,422;77,988
  06/1976;55,624;42,754;36,650;33,727;32,428;70,689;76,227;63,323;51,606;45,346;46,810;47,105;39,938;39,106;39,660;37,735;34,516;32,945;32,170;30,892;30,387;29,634;28,887;28,887;27,903;27,903;26,931;26,690;26,450;26,210;---;26,210;38,971;76,227
  07/1976;25,971;30,892;48,291;87,008;95,614;85,541;52,523;41,619;38,556;44,765;51,606;47,105;41,337;37,735;35,045;33,727;32,170;31,401;30,387;29,634;29,634;29,384;29,135;28,394;27,903;27,659;26,690;26,210;25,971;25,496;25,496;25,496;39,448;95,614
  08/1976;25,024;24,790;23,859;24,323;23,859;23,628;26,210;27,659;24,090;24,790;26,210;31,146;36,381;40,495;40,495;34,780;31,657;29,384;28,394;30,892;37,463;41,619;36,650;31,913;29,884;27,903;26,931;26,210;25,024;24,090;24,323;23,628;29,357;41,619
  09/1976;23,628;23,859;23,398;22,713;22,035;24,556;31,146;55,624;62,995;50,391;39,383;35,045;32,945;44,476;54,376;53,139;55,624;47,400;38,831;35,311;33,205;31,401;30,892;31,657;30,639;26,931;36,381;76,227;89,596;85,175;---;22,035;41,633;89,596
  10/1976;57,198;42,469;37,191;33,466;32,945;32,686;31,146;29,884;29,634;35,845;42,185;35,845;31,913;29,634;28,148;27,659;26,690;27,415;27,415;28,394;27,415;26,931;26,690;26,690;27,903;35,045;34,780;33,466;29,135;27,415;28,394;26,690;31,988;57,198
  11/1976;29,634;28,887;25,971;25,260;28,640;35,045;33,205;29,884;26,931;27,173;26,450;25,971;30,639;30,135;27,173;24,790;30,639;35,045;33,727;35,577;47,400;62,341;59,750;45,056;38,831;35,311;35,577;34,516;38,831;37,463;---;24,790;34,195;62,341
  12/1976;31,401;33,727;39,383;35,845;35,045;31,657;35,845;31,401;43,612;41,337;36,650;34,252;33,989;32,945;35,845;36,921;38,831;49,487;53,756;47,400;38,008;38,556;48,888;47,697;43,899;55,311;55,624;64,971;58,788;45,930;39,106;31,401;41,810;64,971
  01/1977;35,311;35,311;35,045;32,945;35,311;45,930;56,567;59,429;46,516;38,281;35,577;34,516;31,657;30,387;30,892;28,640;31,401;30,639;55,624;84,446;87,008;73,786;52,217;40,495;37,191;49,187;49,187;52,831;57,515;58,469;64,971;28,640;46,364;87,008
  02/1977;79,763;72,748;60,717;49,788;43,039;39,106;37,191;43,325;41,056;35,845;33,727;33,466;32,428;30,892;29,634;31,146;29,135;28,394;28,640;28,640;28,640;28,394;27,415;28,394;28,887;29,384;28,148;26,931;---;---;---;26,931;36,960;79,763
  03/1977;26,450;25,734;25,260;28,148;31,401;34,780;29,384;29,135;29,884;28,148;28,394;25,971;25,024;24,790;24,790;25,024;24,556;24,556;30,639;28,887;31,401;44,476;42,469;35,045;33,466;34,252;50,997;39,660;42,185;49,187;46,810;24,556;32,287;50,997
  04/1977;41,337;40,495;41,337;38,008;41,619;46,810;39,383;33,727;33,466;47,697;44,476;37,191;33,727;31,657;30,387;29,135;28,148;28,887;35,577;43,612;61,365;64,640;58,151;54,066;43,039;36,921;33,727;31,913;30,135;29,384;---;28,148;39,667;64,640
  05/1977;28,394;27,659;27,903;27,415;26,931;26,210;25,971;25,734;24,090;24,556;24,090;23,859;23,398;23,169;23,169;22,940;23,628;24,090;23,859;23,628;22,713;22,035;21,811;21,811;21,365;21,143;21,143;20,483;20,483;20,264;19,830;19,830;23,670;28,394
  06/1977;20,047;20,047;20,047;19,830;30,892;34,780;30,135;24,556;23,859;23,169;21,811;20,483;19,830;19,830;19,614;19,614;19,399;19,399;18,547;18,759;18,547;17,918;17,918;18,127;18,971;18,337;18,547;18,127;17,918;17,709;---;17,709;20,892;34,780
  07/1977;17,502;17,090;16,682;16,682;16,682;16,479;16,076;15,676;15,478;16,076;15,281;15,281;15,084;15,876;17,090;17,502;15,281;11,886;15,281;15,478;15,084;14,888;14,888;14,694;14,500;14,500;14,694;14,115;13,734;13,734;13,169;11,886;15,370;17,502
