,y_valid,q_pred0,q_pred1,q_pred2,q_pred3
240,17.2,23.41,18.673708,20.69581,21.571602
241,14.01,17.2,14.184322,13.818357,13.474086
242,13.81,14.01,15.9089775,13.282394,13.503576
243,16.75,13.81,15.765242,13.307698,13.651875
244,21.59,16.75,17.28037,17.335617,16.932425
245,23.44,21.59,21.017963,21.689007,21.250856
246,18.56,23.44,22.776316,21.792587,22.723936
247,14.84,18.56,20.101511,15.076296,17.009396
248,12.71,14.84,17.095661,13.720638,13.689199
249,11.24,12.71,12.5742655,11.539995,12.004803
250,10.23,11.24,11.523575,10.734064,10.35928
251,9.64,10.23,13.402911,9.788398,10.449986
252,9.1,9.64,11.4780655,9.504098,9.475225
253,9.33,9.1,10.667431,8.91485,8.965401
254,16.8,9.33,9.842906,9.567758,9.017235
255,24.02,16.8,17.179338,19.483366,18.507324
256,19.71,24.02,22.957443,23.78476,24.519054
257,18.08,19.71,19.629143,15.541711,17.695604
258,20.91,18.08,15.96308,17.910006,18.732317
259,24.5,20.91,19.569239,20.450737,20.789597
260,31.84,24.5,25.288862,23.90014,23.279947
261,35.35,31.84,32.395508,31.745434,32.441826
262,30.170000000000005,35.35,33.33729,32.15329,33.600945
263,21.85,30.170000000000005,28.462467,25.109575,27.63198
264,17.21,21.85,21.68241,17.735643,18.665998
265,15.15,17.21,18.60449,15.492444,15.535518
266,13.63,15.15,17.399199,13.914383,13.836382
267,12.46,13.63,16.60355,12.703479,13.465355
268,11.56,12.46,14.556324,11.767513,12.597715
269,10.87,11.56,12.536144,11.049126,10.78059
270,10.51,10.87,12.352968,10.498295,9.2237015
271,10.43,10.51,11.407036,10.310204,9.26271
272,9.65,10.43,11.761868,10.305517,10.561861
273,8.62,9.65,12.485224,9.225418,10.003968
274,8.12,8.62,10.691457,8.405442,8.436078
275,7.83,8.12,9.553341,8.174639,8.15572
276,7.590000000000001,7.83,10.330352,7.9020386,7.279204
277,7.58,7.590000000000001,10.639009,7.722627,7.1925545
278,10.13,7.58,9.949743,7.8104,7.5108614
279,13.73,10.13,10.526633,11.301216,10.75363
280,13.12,13.73,13.635499,14.310441,13.203453
281,11.67,13.12,13.900957,11.774978,11.027652
282,14.18,11.67,14.2985735,11.197319,11.771089
283,15.970000000000002,14.18,16.475216,14.988335,14.802932
284,14.04,15.970000000000002,18.762678,15.326292,15.147435
285,11.73,14.04,14.773523,12.475197,12.805455
286,9.91,11.73,10.612394,10.88521,10.635937
287,8.73,9.91,10.7690935,9.258558,8.244188
288,8.03,8.73,10.242173,8.539605,7.40578
289,7.550000000000001,8.03,9.918464,7.97344,6.917711
290,7.16,7.550000000000001,9.27982,7.626496,6.6881146
291,7.359999999999999,7.16,9.968712,7.2804065,6.750408
292,7.849999999999999,7.359999999999999,10.7455015,7.7549443,7.1427855
293,7.989999999999999,7.849999999999999,11.3217535,8.167665,7.2116446
294,7.610000000000001,7.989999999999999,10.875595,8.128548,7.09759
295,7.349999999999999,7.610000000000001,10.438944,7.622065,6.481666
296,6.970000000000001,7.349999999999999,10.540245,7.5473647,6.8771267
297,6.71,6.970000000000001,10.270827,7.0607767,6.0732336
298,6.52,6.71,10.449799,6.97475,5.7638655
299,6.300000000000001,6.52,11.908292,6.758972,6.139087
300,6.12,6.300000000000001,10.590672,6.5749884,5.933492
301,6.180000000000001,6.12,8.132341,6.4286556,5.649477
302,5.970000000000001,6.180000000000001,7.2745905,6.5952644,5.721902
