,0
2020-12-21,8.612978
2020-12-22,8.288702
2020-12-23,8.061437
2020-12-24,7.6551175
2020-12-25,7.2087936
2020-12-26,8.422321
2020-12-27,17.735424
2020-12-28,30.18462
2020-12-29,40.78221
2020-12-30,33.13719
2020-12-31,21.985714
2021-01-01,18.049206
2021-01-02,15.216898
2021-01-03,14.275837
2021-01-04,18.34238
2021-01-05,18.34196
2021-01-06,15.868198
2021-01-07,20.345863
2021-01-08,26.627068
2021-01-09,22.19506
2021-01-10,16.839941
2021-01-11,17.741028
2021-01-12,18.34779
2021-01-13,19.096985
2021-01-14,18.294586
2021-01-15,16.209269
2021-01-16,15.210461
2021-01-17,13.696587
2021-01-18,12.169488
2021-01-19,11.827708
2021-01-20,11.149195
2021-01-21,10.491471
2021-01-22,9.7065525
2021-01-23,8.883686
2021-01-24,8.002299
2021-01-25,7.616586
2021-01-26,7.2973204
2021-01-27,6.811078
2021-01-28,6.3961887
2021-01-29,6.013606
2021-01-30,5.5956187
2021-01-31,5.2252007
2021-02-01,5.1094685
2021-02-02,5.2835855
2021-02-03,5.9271297
2021-02-04,6.0256524
2021-02-05,8.266198
2021-02-06,17.75121
2021-02-07,20.59196
2021-02-08,16.77561
2021-02-09,11.994392
2021-02-10,9.210208
2021-02-11,10.388491
2021-02-12,12.319876
2021-02-13,21.266617
2021-02-14,32.429703
2021-02-15,29.567171
2021-02-16,20.386349
2021-02-17,15.859739
2021-02-18,16.283875
2021-02-19,15.493385
2021-02-20,14.081461
2021-02-21,12.774454
2021-02-22,13.566935
2021-02-23,12.29031
2021-02-24,10.66648
2021-02-25,9.4021845
2021-02-26,8.883673
2021-02-27,8.4573345
2021-02-28,7.887526
2021-03-01,6.885443
2021-03-02,6.2268887
2021-03-03,5.5856953
2021-03-04,5.382495
2021-03-05,6.2270207
2021-03-06,7.6567144
2021-03-07,10.693452
2021-03-08,15.331839
2021-03-09,17.684828
2021-03-10,17.098038
2021-03-11,13.806522
2021-03-12,11.792476
2021-03-13,10.96585
2021-03-14,10.055652
2021-03-15,9.854181
2021-03-16,9.367589
2021-03-17,8.671077
2021-03-18,8.769175
2021-03-19,10.124807
2021-03-20,10.132089
